428208,102041,991,NO
61094,34086,2347,NO
1000,1782,350,NO
25000,25000,130,NO
85350,80854,3629,NO
10000,103,103,NO
0,1713,1008,NO
147714,114739.69,1250,YES
56300,200,1739,NO
0,33800,370,NO
0,8000,160,NO
302037.59,10524,1149,YES
19878,23622.47,722,NO
123000,193045.24,891,NO
84978,1092350.54,1000,YES
3500,4147,3214,NO
17000,3077,419,NO
216074,49396.9,945,YES
819087,7700,693,YES
209248,155448.16,495,YES
8800,6000,103,NO
50000,53383.2,1050,NO
0,56414.5,1528,NO
79894,29941.6,300,NO
15000,25273.69,2107,NO
103788,61518,839,NO
151036,11488,500,YES
119085,115815.64,1100,NO
44865,284458.39,2701,NO
172930,107791,3122,YES
65789.8,33991,249,NO
165800,468638,1057,YES
0,358,274,NO
64609,41800.5,196,YES
431337,592128.45,8842,NO
0,1000,660,NO
0,5896.62,962,NO
63673,0,500,YES
147220,194579.8,3117,NO
95139,43239.53,575,YES
0,2110,301,NO
0,14480,2823,NO
0,13661.88,1427,NO
1005,49000,654,NO
0,45306,2725,NO
3057.29,63376.02,2656,NO
119900,974093,732,NO
21410,28952,3995,YES
167358,82000,6554,NO
20600,181600.84,1006,YES
178752.09,529154.26,759,YES
30000,73628.9,255,YES
45987,26698,2874,NO
15000,0,255,NO
69414,107100,628,NO
160507,131259.62,6644,NO
160507,131259.62,6644,NO
0,225.7,502,NO
0,22200,100,NO
41300,38427.75,663,YES
7000,0,311,NO
15500,860,1955,NO
72430,7072,5772,NO
392824,3661.8,1200,NO
0,1000,394,YES
0,16,16,NO
28357,27151.47,207,NO
0,200.0017,250,YES
1000,1500,1788,NO
52400,1900,8842,NO
14237,8000,622,NO
0,33805,179,NO
42061,600,642,NO
671390,668934.32,1360,YES
155204,20500.61,975,YES
0,2000,100,NO
105052,36983.41,2411,YES
30747,361832.14,240,YES
5500,115370.37,7933,NO
10100,395873.08,1056,YES
109181.91,10900,578,NO
0,2750,251,NO
227172,204732.72,4658,NO
38000,138312.24,1139,YES
82015.7,16557.7,2020,NO
169746,67188.02,150,YES
23558,64607,3705,NO
324458,129956.91,8164,NO
280173,288057.24,720,YES
204150,57140,246,NO
39000,0,904,NO
213272.2,211540.54,2268,YES
53000,25800,4228,NO
91800,81458.63,1426,NO
39000,57,100,NO
20556,26900,751,NO
23030,14061,1310,NO
15000,10000,684,NO
50242,93109.18,1424,NO
62106.61,51900,80,NO
0,299,299,NO
45000,706,1132,NO
17588,33015,83,NO
20000,3000,0,NO
30000,257846,0,NO
62056,6500,0,NO
68847.44,146266.54,0,NO
2800,208,0,NO
391090.7,340709.35,0,YES
84594,993.36,0,NO
8550,123421,0,NO
111762,388450,0,YES
26299,43615.76,0,NO
25000,126520,0,YES
180830,297914.7,0,YES
123409.33,482559.44,0,NO
22150,27500,0,YES
296630,645013,0,YES
74887,251412.47,0,YES
376198,418917.81,0,YES
161597,57668.13,0,NO
1868419,2532707,0,NO
865023.04,92881,0,YES
138094.68,143174,0,NO
18997.81,7474.4861,0,NO
14428,10503.71,0,YES
312392.46,309481.57,0,YES
80000,55722.38,0,NO
90589,244706.29,0,NO
88000,19000,0,NO
88000,12695,0,YES
89482,99801.24,0,NO
65040,89993,0,YES
44500,189034.48,0,YES
15000,40428,0,YES
87717,2900,0,NO
100315,69062.7,0,NO
70100,50,0,NO
230647,237770.0014,0,NO
3256163.004,2792000.01,0,NO
5000,41589.54,0,YES
22000,6118,0,NO
120000,68874,0,YES
196822,220780,0,YES
472776.54,787697.81,0,YES
1370,10358,0,NO
340,434784,0,YES
170210,83228.4,0,NO
226706,404961.7,0,YES
268918.08,315408.1,0,YES
37011.46,48257.19,0,NO
48033,38275.52,0,NO
45499,6000,0,NO
35249,185062.38,0,NO
146271,118098.59,0,YES
22500,16500,0,NO
44664,8018.27,0,NO
10500,27984.5,0,NO
26773,16215.3,0,YES
9451,4410,0,NO
238845.09,135269.63,0,YES
